Year,Medium,Count
2002.0,Screenprint,50
2002.0,Color photograph,34
2002.0,Fabric collage,30
2002.0,"Drypoint and engraving, with hand additions",23
2002.0,Lithograph,22
2002.0,Gelatin silver print,19
2002.0,One from a portfolio of twenty three etchings,19
2002.0,Chromogenic print,18
2002.0,Pencil on paper,17
2003.0,One from an illustrated book with forty-eight letterpress illustrations,48
2003.0,Pencil on paper,44
2003.0,Gelatin silver print,34
2003.0,One from a portfolio of thirty linoleum cuts,30
2003.0,Ink on paper,23
2003.0,"Drypoint, with hand additions",21
2003.0,Watercolor and pencil on paper,21
2003.0,"Video (color, sound)",20
2003.0,Lithograph from a portfolio of nineteen lithographs and one monotype,19
2003.0,"Drypoint and engraving, with hand additions",17
2004.0,Lithograph,42
2004.0,One from a portfolio of forty screenprint and lithographs,40
2004.0,Drypoint,36
2004.0,Fabric collage,30
2004.0,Chromogenic print,27
2004.0,"Drypoint, with hand additions",24
2004.0,Gelatin silver print,23
2004.0,One from a portfolio of twenty-three screenprints with letterpress,23
2004.0,One from a series of 100 screenprints,20
2004.0,Pencil on paper,19
2005.0,Letterpress,45
2005.0,Inkjet prints,43
2005.0,"Digital print with chine collé from a portfolio of ten etchings, five with aquatint, and 25 digital prints with chine collé",25
2005.0,One from an illustrated book with twenty-five etchings and a supplementary suite of twenty-five etchings,25
2005.0,One from the supplementary suite of twenty-five etchings for an illustrated book with twenty-five etchings,25
2005.0,Gelatin silver print,21
2005.0,One from a portfolio of twenty-two woodcuts,21
2005.0,Etching,17
2005.0,Pencil on tracing paper,16
2005.0,Woodcut,16
2006.0,Digital print,56
2006.0,One from a portfolio of 44 offset lithographs,44
2006.0,Etching,41
2006.0,Screenprint,35
2006.0,One from a portfolio of 27 etching and nyloprints with letterpress additions,27
2006.0,"One from a series of twenty-four drawings in ink, wash, and pencil on paper",24
2006.0,Lithograph,19
2006.0,One from a portfolio of eighteen etchings,18
2006.0,Chromogenic print,17
2006.0,Drypoint,15
2007.0,Inkjet print,75
2007.0,Etching,34
2007.0,"Digital print, with hand additions",25
2007.0,Digital print,22
2007.0,"Video (color, sound)",20
2007.0,Screenprint with ink additions,19
2007.0,One from a portfolio of seventeen photogravures,17
2007.0,Photogravure from a portfolio of sixteen photogravures and two woodcuts,16
2007.0,One from a series of thirteen digital prints,13
2007.0,Screenprint,13
2008.0,Offset from an artist's book with unique drawing,44
2008.0,Gelatin silver print,31
2008.0,Etching,25
2008.0,"Etching, with hand additions",18
2008.0,One from a series of eighteen etchings with hand additions,18
2008.0,Chromogenic print,17
2008.0,One from a portfolio of sixteen etching and aquatints,16
2008.0,Inkjet print,13
2008.0,One from a portfolio of thirteen engravings,13
2008.0,One from a portfolio of twelve digital prints,12
2009.0,Drypoint,60
2009.0,One from a portfolio of twenty-eight offset lithographs,28
2009.0,Gelatin silver print,24
2009.0,Chromogenic print,22
2009.0,Etching,15
2009.0,One from a portfolio of twelve linoleum cuts,12
2009.0,Inkjet print,11
2009.0,One from a portfolio of ten digital prints with chine collé,10
2009.0,One from a portfolio of ten etching and aquatints with chine collé,10
2009.0,One from an illustrated book with ten digital prints and one supplementary digital print with poem,10
2010.0,Inkjet print,41
2010.0,One from a series of 39 screenprints on MDF panels,39
2010.0,Chromogenic print,22
2010.0,Digital print,21
2010.0,"Graphite rubbing from an illustrated book with twenty-eight graphite rubbings, fourteen with screenprint additions",14
2010.0,"Graphite rubbing with screenprint from an illustrated book with twenty-eight graphite rubbings, fourteen with screenprint additions",14
2010.0,"Digital print, with hand additions",13
2010.0,"One from a portfolio of eleven transfer prints of forensic fingerprint powder on acrylic, with nails",11
2010.0,Pencil on mylar,10
2010.0,"Video (color, sound)",8
2011.0,Inkjet print,35
2011.0,Gelatin silver print,31
2011.0,Chromogenic print,28
2011.0,"One from an illustrated book with twenty relief prints, on two pages",20
2011.0,"Collage of chromogenic print, postcard, and beer label",12
2011.0,"One from a portfolio of twelve etching, aquatint, drypoint, and carborundum prints on vellum",12
2011.0,Digital rendering,10
2011.0,One from a series of ten offset lithographs,10
2011.0,One from a portfolio of nine woodcuts,9
2011.0,One from an illustrated book with nine etchings,9
2012.0,Gelatin silver print,48
2012.0,One from a portfolio of thirty-one screenprints,30
2012.0,Inkjet print,15
2012.0,One from a portfolio of fifteen screenprints,15
2012.0,Chromogenic print,14
2012.0,One from a series of fourteen etching and photogravures with chine collé,14
2012.0,One from a series of twelve inkjet monoprints,12
2012.0,Digital print,11
2012.0,3D printed multicolored Vero acrylic polymer,8
2012.0,Eight polymer printing plates,8
2013.0,Inkjet print,143
2013.0,"Video (color, sound)",42
2013.0,Gelatin silver print,20
2013.0,One from an illustrated book with sixteen lithographs,16
2013.0,One from a series of ten lithographs,10
2013.0,Ink on paper,9
2013.0,"Etching and aquatint from a series of twelve etching and aquatints, two with screenprint and two with chine collé",8
2013.0,One from a portfolio of eight etchings,8
2013.0,One from a portfolio of eight etchings with cut-and-pasted chine collé,8
2013.0,"One from a portfolio of eight etchings with drypoint, roulette, aquatint, and chine collé",8
2014.0,Gelatin silver print,13
2014.0,One from a portfolio of twelve screenprints,12
2014.0,Inkjet print,11
2014.0,Etching,10
2014.0,Chromogenic print,9
2014.0,One from a portfolio of eight etchings with chine collé,8
2014.0,"Video (color, sound)",7
2014.0,Monotype over photogravure,6
2014.0,Artist's book,5
2014.0,"Glass, fabric, enamel, and thread",5
2015.0,Pencil on paper,20
2015.0,Plastic on plywood base with metal pedestal,19
2015.0,Gelatin silver print,16
2015.0,Chromogenic print,14
2015.0,Inkjet print,10
2015.0,Paper on plywood base with metal pedestal,10
2015.0,".a: Ink, pencil, and marker on paper
.b: Ink, marker, and colored pencil on paper",9
2015.0,Felt-tipped pen and colored pencil on tracing paper,8
2015.0,Lithograph,7
2015.0,Screenprint,7
2016.0,Pastel and colored pencil on paper,108
2016.0,Chromogenic print,53
2016.0,Inkjet print,52
2016.0,Digital photograph,37
2016.0,Gelatin silver print,14
2016.0,One from a portfolio of twelve etchings,12
2016.0,C-print,10
2016.0,Inkjet print on canvas,10
2016.0,One from a series of eleven lithographs,10
2016.0,One from a set of eight lithographs,8
2017.0,Bound book of collages and drawings,49
2017.0,Inkjet print,21
2017.0,Archival pigment print on found poster,12
2017.0,"Digital print, framed page from book",11
2017.0,One from a portfolio of nine digital prints,9
2017.0,Gelatin silver print,7
2017.0,"Paint, wood, nails, threads, cloth",7
2017.0,One from a portfolio of three lithographs,6
2017.0,Photograph,6
2017.0,Vitreous enamel on steel,6
2018.0,Inkjet print,34
2018.0,Gelatin silver print,11
2018.0,Chromogenic print,9
2018.0,Newspaper ad,7
2018.0,Lithograph,4
2018.0,Gelatin silver prints,3
2018.0,Silicone rubber and LEDs,3
2018.0,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.",2
2018.0,Etching and aquatint with chine collé,2
2018.0,Letterpress,2
2019.0,Gelatin silver print,120
2019.0,Inkjet print,32
2019.0,Pencil on paper,25
2019.0,Microalgae and sugar-based biopolymer,15
2019.0,Aquatint and etching,9
2019.0,"High-definition video (color, sound)",8
2019.0,"Inkjet print
",6
2019.0,One from a portfolio with six screenprints,5
2019.0,Screenprint on inkjet print with cut-and-pasted printed paper in artist's frame,5
2019.0,Dye sublimation print,4
2020.0,One from an illustrated book with thirteen woodcuts,13
2020.0,One from a series of four from a collection of twenty screenprints each on a polypropylene fabric face mask,12
2020.0,"Inkjet print
",9
2020.0,One from a series of seven from a collection of twenty screenprints each on a polypropylene fabric face mask,7
2020.0,Costume and props,6
2020.0,"Oil, pencil, and gold leaf on two joined canvases",6
2020.0,"High-definition video (color, sound)",5
2020.0,Inkjet print,5
2020.0,Chromogenic print,3
2020.0,Digital photograph,3
2021.0,Installation of dye sublimation prints with specimen pins and paint,17
2021.0,Dye sublimation print,14
2021.0,Inkjet print,9
2021.0,Digital collage,6
2021.0,Lithograph,6
2021.0,Pencil on paper,6
2021.0,Acrylic on colored paper,4
2021.0,Gelatin silver print,3
2021.0,Portfolio of four etchings with aquatint,3
2021.0,"Processed cow dung, PVA glue, and electronics",3
2022.0,Pencil on torn paper; one from a series of sixty-one sheets,32
2022.0,Inkjet print,22
2022.0,Aquatint,18
2022.0,"Pencil, colored pencil, and oil pastel on torn paper; one from a series of sixty-one sheets",15
2022.0,Digital drawing,14
2022.0,"Pencil, colored pencil, oil pastel, and spray paint on torn paper; one from a series of sixty-one sheets",14
2022.0,Digital photograph,6
2022.0,Metal prototype,4
2022.0,Digital image,3
2022.0,"High-definition video (color, sound)",3
2023.0,Lithograph and aquatint,6
2023.0,Lithograph,4
2023.0,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.",2
2023.0,Inkjet print with hand engraving on lava stone,2
2023.0,"16mm film (color, silent)",1
2023.0,"19th-century sugar kettle, made in England, used in Louisiana",1
2023.0,3D printed ceramic,1
2023.0,"4K video (color, sound)",1
2023.0,Acrylic on canvas,1
2023.0,Artist's book with 120 digitally printed pages and hand-sewn binding,1
2024.0,Inkjet print,4
2024.0,Pencil on paper,3
2024.0,"4K video (color, sound)",1
2024.0,Birch plywood,1
2024.0,"Cardboard, wood, metal",1
2024.0,Inkjet prints (diptych),1
2024.0,"Inkjet prints (triptych)
",1
2024.0,Mixed media on foil-insulated foam and wood,1
2024.0,"Plaster, sand, clay, plaster, cardboard, acrylic, natural pigments, paper, treated and dehydrated plants",1
2024.0,"Video sculpture with three painted wooden boxes, wooden trestles, and three high-definition videos (color, sound)",1
